state,pollster,n,mode,population,start.date,end.date,democratic_candidate,republican_candidate,undecided,other,partisan,two_party_sum,polltype,n_respondents,n_democratic_candidate,pct_democratic_candidate,n_republican_candidate,pct_republican_candidate,n_other,p_other
--,Insights West,940,Internet,Likely Voters,2016-11-04,2016-11-07,45,41,8,2,Nonpartisan,86,0,940,423,0.5232558139534884,385,0.47674418604651164,19,0.02
--,Insights West,NA,Internet,Likely Voters - Democrat,2016-11-04,2016-11-07,89,6,4,0,Nonpartisan,95,NA,NA,NA,0.9368421052631579,NA,0.06315789473684211,NA,0
--,Insights West,NA,Internet,Likely Voters - Republican,2016-11-04,2016-11-07,7,82,6,2,Nonpartisan,89,NA,NA,NA,0.07865168539325842,NA,0.9213483146067416,NA,0.02
--,Insights West,NA,Internet,Likely Voters - independent,2016-11-04,2016-11-07,43,38,7,4,Nonpartisan,81,NA,NA,NA,0.5308641975308642,NA,0.4691358024691358,NA,0.04
--,IBD,1107,Live Phone,Likely Voters,2016-11-04,2016-11-07,41,43,5,4,Nonpartisan,84,0,1107,454,0.4880952380952381,476,0.5119047619047619,44,0.04
--,YouGov,3669,Internet,Likely Voters,2016-11-04,2016-11-07,45,41,4,5,Nonpartisan,86,0,3669,1651,0.5232558139534884,1504,0.47674418604651164,183,0.05
--,YouGov,1392,Internet,Likely Voters - Democrat,2016-11-04,2016-11-07,90,6,2,2,Nonpartisan,96,NA,1392,1253,0.9375,84,0.0625,28,0.02
--,YouGov,1110,Internet,Likely Voters - Republican,2016-11-04,2016-11-07,4,84,4,4,Nonpartisan,88,NA,1110,44,0.045454545454545456,932,0.9545454545454546,44,0.04
--,YouGov,1167,Internet,Likely Voters - independent,2016-11-04,2016-11-07,31,44,8,9,Nonpartisan,75,NA,1167,362,0.41333333333333333,513,0.5866666666666667,105,0.09
--,Lucid,931,Internet,Likely Voters,2016-11-04,2016-11-06,45,40,7,2,Nonpartisan,85,0,931,419,0.5294117647058824,372,0.47058823529411764,19,0.02
--,Bloomberg,799,Live Phone,Likely Voters,2016-11-04,2016-11-06,46,43,6,5,Nonpartisan,89,0,799,368,0.5168539325842697,344,0.48314606741573035,40,0.05
--,Bloomberg,NA,Live Phone,Likely Voters - Democrat,2016-11-04,2016-11-06,86,6,5,3,Nonpartisan,92,NA,NA,NA,0.9347826086956522,NA,0.06521739130434782,NA,0.03
--,Bloomberg,NA,Live Phone,Likely Voters - Republican,2016-11-04,2016-11-06,5,85,4,6,Nonpartisan,90,NA,NA,NA,0.05555555555555555,NA,0.9444444444444444,NA,0.06
--,Bloomberg,NA,Live Phone,Likely Voters - independent,2016-11-04,2016-11-06,38,44,8,10,Nonpartisan,82,NA,NA,NA,0.4634146341463415,NA,0.5365853658536586,NA,0.1
--,Bloomberg,799,Live Phone,Likely Voters,2016-11-04,2016-11-06,44,41,8,2,Nonpartisan,85,0,799,352,0.5176470588235295,328,0.4823529411764706,16,0.02
--,ABC,2220,Live Phone,Likely Voters,2016-11-03,2016-11-06,47,43,1,4,Nonpartisan,90,0,2220,1043,0.5222222222222223,955,0.4777777777777778,89,0.04
--,Monmouth University,748,Live Phone,Likely Voters,2016-11-03,2016-11-06,50,44,1,3,Nonpartisan,94,0,748,374,0.5319148936170213,329,0.46808510638297873,22,0.03
--,FOX,1295,Live Phone,Likely Voters,2016-11-03,2016-11-06,48,44,1,4,Nonpartisan,92,0,1295,622,0.5217391304347826,570,0.4782608695652174,52,0.04
--,FOX,NA,Live Phone,Likely Voters - Democrat,2016-11-03,2016-11-06,91,4,0,3,Nonpartisan,95,NA,NA,NA,0.9578947368421052,NA,0.042105263157894736,NA,0.03
--,FOX,NA,Live Phone,Likely Voters - Republican,2016-11-03,2016-11-06,9,86,1,3,Nonpartisan,95,NA,NA,NA,0.09473684210526316,NA,0.9052631578947369,NA,0.03
--,FOX,NA,Live Phone,Likely Voters - independent,2016-11-03,2016-11-06,36,42,5,9,Nonpartisan,78,NA,NA,NA,0.46153846153846156,NA,0.5384615384615384,NA,0.09
--,Ipsos,2195,Internet,Likely Voters,2016-11-02,2016-11-06,44,39,8,9,Nonpartisan,83,0,2195,966,0.5301204819277109,856,0.46987951807228917,198,0.09
--,Ipsos,NA,Internet,Likely Voters - Democrat,2016-11-02,2016-11-06,84,7,5,5,Nonpartisan,91,NA,NA,NA,0.9230769230769231,NA,0.07692307692307693,NA,0.05
--,Ipsos,NA,Internet,Likely Voters - Republican,2016-11-02,2016-11-06,6,81,7,7,Nonpartisan,87,NA,NA,NA,0.06896551724137931,NA,0.9310344827586207,NA,0.07
--,Ipsos,NA,Internet,Likely Voters - independent,2016-11-02,2016-11-06,29,24,19,28,Nonpartisan,53,NA,NA,NA,0.5471698113207547,NA,0.4528301886792453,NA,0.28
--,Ipsos,2195,Internet,Likely Voters,2016-11-02,2016-11-06,42,39,7,6,Nonpartisan,81,0,2195,922,0.5185185185185185,856,0.48148148148148145,132,0.06
--,Ipsos,NA,Internet,Likely Voters - Democrat,2016-11-02,2016-11-06,81,7,4,3,Nonpartisan,88,NA,NA,NA,0.9204545454545454,NA,0.07954545454545454,NA,0.03
--,Ipsos,NA,Internet,Likely Voters - Republican,2016-11-02,2016-11-06,6,81,5,3,Nonpartisan,87,NA,NA,NA,0.06896551724137931,NA,0.9310344827586207,NA,0.03
--,Ipsos,NA,Internet,Likely Voters - independent,2016-11-02,2016-11-06,28,24,17,16,Nonpartisan,52,NA,NA,NA,0.5384615384615384,NA,0.46153846153846156,NA,0.16
--,Rasmussen,1500,IVR/Online,Likely Voters,2016-11-02,2016-11-06,45,43,4,5,Nonpartisan,88,0,1500,675,0.5113636363636364,645,0.48863636363636365,75,0.05
--,CBS,1426,Live Phone,Likely Voters,2016-11-02,2016-11-06,47,43,5,5,Nonpartisan,90,0,1426,670,0.5222222222222223,613,0.4777777777777778,71,0.05
--,CBS,NA,Live Phone,Likely Voters - Democrat,2016-11-02,2016-11-06,88,7,4,1,Nonpartisan,95,NA,NA,NA,0.9263157894736842,NA,0.07368421052631578,NA,0.01
--,CBS,NA,Live Phone,Likely Voters - Republican,2016-11-02,2016-11-06,6,86,3,5,Nonpartisan,92,NA,NA,NA,0.06521739130434782,NA,0.9347826086956522,NA,0.05
--,CBS,NA,Live Phone,Likely Voters - independent,2016-11-02,2016-11-06,41,42,9,8,Nonpartisan,83,NA,NA,NA,0.4939759036144578,NA,0.5060240963855421,NA,0.08
--,CBS,1426,Live Phone,Likely Voters,2016-11-02,2016-11-06,45,41,5,4,Nonpartisan,86,0,1426,642,0.5232558139534884,585,0.47674418604651164,57,0.04
--,CBS,NA,Live Phone,Likely Voters - Democrat,2016-11-02,2016-11-06,85,6,4,3,Nonpartisan,91,NA,NA,NA,0.9340659340659341,NA,0.06593406593406594,NA,0.03
--,CBS,NA,Live Phone,Likely Voters - Republican,2016-11-02,2016-11-06,6,84,2,3,Nonpartisan,90,NA,NA,NA,0.06666666666666667,NA,0.9333333333333333,NA,0.03
--,CBS,NA,Live Phone,Likely Voters - independent,2016-11-02,2016-11-06,38,40,8,7,Nonpartisan,78,NA,NA,NA,0.48717948717948717,NA,0.5128205128205128,NA,0.07
--,UPI,1625,Internet,Likely Voters,2016-10-31,2016-11-06,49,46,0,5,Nonpartisan,95,0,1625,796,0.5157894736842106,748,0.4842105263157895,81,0.05
--,NBC,70194,Internet,Likely Voters,2016-10-31,2016-11-06,51,44,5,0,Nonpartisan,95,0,70194,35799,0.5368421052631579,30885,0.4631578947368421,0,0
--,NBC,70194,Internet,Likely Voters,2016-10-31,2016-11-06,47,41,2,3,Nonpartisan,88,0,70194,32991,0.5340909090909091,28780,0.4659090909090909,2106,0.03
--,Politico,1482,Internet,Likely Voters,2016-11-04,2016-11-05,45,42,0,4,Nonpartisan,87,0,1482,667,0.5172413793103449,622,0.4827586206896552,59,0.04
--,Politico,571,Internet,Likely Voters - Democrat,2016-11-04,2016-11-05,87,8,0,2,Nonpartisan,95,NA,571,497,0.9157894736842105,46,0.08421052631578947,11,0.02
--,Politico,495,Internet,Likely Voters - Republican,2016-11-04,2016-11-05,9,85,0,1,Nonpartisan,94,NA,495,45,0.09574468085106383,421,0.9042553191489362,5,0.01
--,Politico,416,Internet,Likely Voters - independent,2016-11-04,2016-11-05,32,39,1,10,Nonpartisan,71,NA,416,133,0.4507042253521127,162,0.5492957746478874,42,0.1
--,NBC,1282,Live Phone,Likely Voters,2016-11-03,2016-11-05,44,40,5,5,Nonpartisan,84,0,1282,564,0.5238095238095238,513,0.47619047619047616,64,0.05
--,Franklin Pierce,1009,Live Phone,Likely Voters,2016-11-01,2016-11-05,48,44,1,3,Nonpartisan,92,0,1009,484,0.5217391304347826,444,0.4782608695652174,30,0.03
--,Franklin Pierce,474,Live Phone,Likely Voters - Democrat,2016-11-01,2016-11-05,82,12,1,4,Nonpartisan,94,NA,474,389,0.8723404255319149,57,0.1276595744680851,19,0.04
--,Franklin Pierce,418,Live Phone,Likely Voters - Republican,2016-11-01,2016-11-05,14,79,1,1,Nonpartisan,93,NA,418,59,0.15053763440860216,330,0.8494623655913979,4,0.01
--,Franklin Pierce,106,Live Phone,Likely Voters - independent,2016-11-01,2016-11-05,29,54,3,4,Nonpartisan,83,NA,106,31,0.3493975903614458,57,0.6506024096385542,4,0.04
--,Angus Reid,1113,Internet,Likely Voters,2016-11-01,2016-11-04,48,44,0,2,Nonpartisan,92,0,1113,534,0.5217391304347826,490,0.4782608695652174,22,0.02
